eb_n0_db,hard_coded_ber,soft_coded_ber,uncoded_theoretical_ber,n_trials,bits_per_trial
0,0.3435,0.13233333333333333,0.07864960352514257,30,200
1,0.19233333333333333,0.027166666666666665,0.056281951976541456,30,200
2,0.10166666666666667,0.008333333333333333,0.03750612835892598,30,200
3,0.031,0.0005,0.022878407561085324,30,200
4,0.0016666666666666668,0.0,0.012500818040737556,30,200
5,0.0021666666666666666,0.0,0.005953867147778661,30,200
6,0.0,0.0,0.0023882907809328075,30,200
