trace_id,sample_index,amplitude
0,0,0.09576485652518335
0,1,0.23134658744916647
0,2,0.3404240862354082
0,3,0.4091010375284674
0,4,0.40766691041152464
0,5,0.4091010375284674
0,6,0.3404240862354082
0,7,0.23134658744916645
0,8,0.09576485652518335
0,9,-0.050297578373209154
0,10,-0.1911374149272711
0,11,-0.31354680790197187
0,12,-0.4286021497218747
0,13,-0.4555990340714814
0,14,-0.4713553510758829
0,15,-0.4603780508756521
1,0,0.09576485652518335
1,1,-0.050297578373209154
1,2,-0.1911374149272711
1,3,-0.31354680790197187
1,4,-0.4286021497218747
1,5,-0.4555990340714814
1,6,-0.4713553510758829
1,7,-0.4603780508756521
1,8,-0.43061246442089646
1,9,-0.3917106528058849
1,10,-0.35334595618167686
1,11,-0.3236302262151881
1,12,-0.2876594502771811
1,13,-0.3236302262151881
1,14,-0.35334595618167686
1,15,-0.3917106528058849
2,0,-0.43061246442089646
2,1,-0.3917106528058849
2,2,-0.35334595618167686
2,3,-0.3236302262151881
2,4,-0.2876594502771811
2,5,-0.3236302262151881
2,6,-0.35334595618167686
2,7,-0.3917106528058849
2,8,-0.43061246442089646
2,9,-0.4603780508756521
2,10,-0.4713553510758829
2,11,-0.4555990340714814
2,12,-0.42860214972187466
2,13,-0.31354680790197187
2,14,-0.19113741492727107
2,15,-0.05029757837320917
3,0,-0.43061246442089646
3,1,-0.4603780508756521
3,2,-0.4713553510758829
3,3,-0.4555990340714814
3,4,-0.42860214972187466
3,5,-0.31354680790197187
3,6,-0.19113741492727107
3,7,-0.05029757837320917
3,8,0.09576485652518335
3,9,0.23134658744916647
3,10,0.3404240862354082
3,11,0.4091010375284674
3,12,0.4481363951002855
3,13,0.42730832664336627
3,14,0.32478544802844267
3,15,0.17515578194607143
4,0,0.09576485652518335
4,1,0.23134658744916647
4,2,0.3404240862354082
4,3,0.4091010375284674
4,4,0.4481363951002855
4,5,0.42730832664336627
4,6,0.32478544802844267
4,7,0.17515578194607143
4,8,6.938893903907228e-18
4,9,-0.17515578194607145
4,10,-0.32478544802844267
4,11,-0.42730832664336627
4,12,-0.48860587978904646
4,13,-0.42730832664336627
4,14,-0.32478544802844267
4,15,-0.17515578194607143
5,0,6.938893903907228e-18
5,1,-0.17515578194607145
5,2,-0.32478544802844267
5,3,-0.42730832664336627
5,4,-0.48860587978904646
5,5,-0.42730832664336627
5,6,-0.32478544802844267
5,7,-0.17515578194607143
5,8,-6.938893903907228e-18
5,9,0.17515578194607145
5,10,0.32478544802844267
5,11,0.42730832664336627
5,12,0.4481363951002856
5,13,0.4091010375284674
5,14,0.3404240862354082
5,15,0.23134658744916645
6,0,-6.938893903907228e-18
6,1,0.17515578194607145
6,2,0.32478544802844267
6,3,0.42730832664336627
6,4,0.4481363951002856
6,5,0.4091010375284674
6,6,0.3404240862354082
6,7,0.23134658744916645
6,8,0.09576485652518335
6,9,-0.050297578373209154
6,10,-0.1911374149272711
6,11,-0.31354680790197187
6,12,-0.38813266503311383
6,13,-0.4373917449565825
